City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,pangkalanbuun,-2.6833,111.6167,22.98,100,16,0.43,ID,1722543861
252,kudahuvadhoo,2.6708,72.8944,28.28,71,100,0.49,MV,1722543862
253,bengkulu,-3.8004,102.2655,23.99,93,62,2.93,ID,1722543863
254,fisterra,42.9049,-9.2629,21.12,87,0,7.39,ES,1722543864
255,lebu,-37.6167,-73.65,11.1,97,100,6.34,CL,1722543865
256,barcelos,41.5388,-8.6151,21.06,90,0,3.15,PT,1722543866
257,mermoz boabab,14.7065,-17.4758,28.31,69,40,4.12,SN,1722543867
258,callao,-12.0667,-77.15,25.79,78,19,3.93,PE,1722543868
259,dryden,49.7833,-92.7503,28.16,42,0,3.09,CA,1722543869
260,muravlenko,63.7898,74.523,15.95,67,3,3.37,RU,1722543870
261,aldan,58.6031,125.3894,5.99,83,25,1.53,RU,1722543871
262,saint-philippe,-21.3585,55.7679,20.77,67,61,4.08,RE,1722543872
263,port blair,11.6667,92.75,27.02,89,75,0.51,IN,1722543873
264,broome,42.2506,-75.833,32.59,53,4,1.34,US,1722543874
265,ormara,25.2088,64.6357,28.19,87,100,7.08,PK,1722543875
266,choix,26.7092,-108.3219,36.55,36,3,3.15,MX,1722543876
267,phalaborwa,-23.943,31.1411,17.6,66,0,1.12,ZA,1722543877
268,rikaze,29.25,88.8833,15.39,44,93,2.81,CN,1722543878
269,sur,22.5667,59.5289,31.99,58,74,6.82,OM,1722543880
270,lycksele,64.5954,18.6735,13.93,82,100,4.63,SE,1722543881
271,contamana,-7.3333,-75.0167,37.98,20,0,2.45,PE,1722543882
272,ulladulla,-35.35,150.4667,7.51,83,12,3.36,AU,1722543883
273,ribeira brava,32.65,-17.0667,25.4,83,0,3.06,PT,1722543884
274,carovigno,40.708,17.655,27.38,47,0,3.37,IT,1722543885
275,les cayes,18.2,-73.75,29.71,69,80,3.32,HT,1722543886
276,mahina,-17.5065,-149.489,25.87,50,0,2.06,PF,1722543887
277,corner brook,48.9667,-57.9484,27.09,87,98,3.83,CA,1722543888
278,sivas,39.7916,37.0019,13.35,94,0,5.66,TR,1722543889
279,karasburg,-28.0167,18.75,11.31,14,0,3.1,NA,1722543890
280,robertsport,6.7533,-11.3686,24.95,88,100,7.15,LR,1722543891
281,edea,3.8,10.1333,22.58,95,91,0.78,CM,1722543892
282,huarmey,-10.0681,-78.1522,20.28,74,11,3.82,PE,1722543893
283,port macquarie,-31.4333,152.9167,10.6,84,46,1.34,AU,1722543711
284,timbuktu,16.7735,-3.0074,33.8,45,99,4.14,ML,1722543895
285,daru,-9.0763,143.2092,24.29,90,100,7.84,PG,1722543896
286,bodo,67.28,14.405,15.02,83,75,3.6,NO,1722543897
287,kzyltu,53.6364,72.3414,21.57,72,100,7.43,KZ,1722543898
288,remire-montjoly,4.9167,-52.2667,31.02,70,6,1.54,GF,1722543899
289,eyl,7.9803,49.8164,26.19,68,64,13.32,SO,1722543900
290,mulayjah,27.271,48.4242,37.23,14,11,4.21,SA,1722543902
291,sao vicente,-23.9631,-46.3919,24.04,72,100,2.06,BR,1722543820
292,borgo san dalmazzo,44.333,7.4858,24.41,81,0,1.34,IT,1722543904
293,fort bragg,35.139,-79.006,36.49,51,0,2.57,US,1722543905
294,aioun,16.6614,-9.6149,36.72,28,89,5.63,MR,1722543906
295,umba,66.6871,34.3429,14.91,87,94,2.8,RU,1722543907
296,gadzhiyevo,69.2551,33.3362,9.91,95,100,5.1,RU,1722543908
297,lata,40.1629,-8.3327,19.49,91,14,2.4,PT,1722543909
298,chunskiy,56.0815,99.6342,12.99,93,7,1.02,RU,1722543910
299,vila franca do campo,37.7167,-25.4333,24.23,74,12,1.96,PT,1722543911
300,taroa,8.7058,171.2275,28.07,78,100,6.26,MH,1722543912
301,saynshand,44.8824,110.1163,21.58,60,100,4.26,MN,1722543913
302,utrik,11.2278,169.8474,28.36,77,63,3.69,MH,1722543914
303,ghogha,21.6833,72.2833,27.71,83,100,7.39,IN,1722543915
304,damghan,36.1683,54.348,26.34,46,0,3.49,IR,1722543916
305,tolanaro,-25.0319,46.9987,17.48,73,0,3.12,MG,1722543917
306,muborak,39.2553,65.1528,31.98,11,0,6.4,UZ,1722543918
307,minas de marcona,-15.2119,-75.1103,17.83,58,17,3.42,PE,1722543919
308,cozumel,20.5083,-86.9458,33.04,58,20,6.69,MX,1722543921
309,irbit,57.6705,63.071,14.57,96,8,2.38,RU,1722543922
310,gerash,27.6652,54.1371,28.08,32,99,0.71,IR,1722543923
311,pisco,-13.7,-76.2167,18.03,77,0,4.12,PE,1722543924
312,chiredzi,-21.05,31.6667,17.83,48,0,3.05,ZW,1722543925
313,naze,28.3667,129.4833,25.51,87,18,2.46,JP,1722543926
314,monrovia,6.3005,-10.7969,24.87,89,100,6.26,LR,1722543927
315,ingeniero jacobacci,-41.3427,-69.5448,11.02,49,100,14.67,AR,1722543928
316,najaf,31.9985,44.3398,37.88,17,0,3.09,IQ,1722543929
317,bereznik,62.8551,42.7072,13.76,96,91,1.9,RU,1722543931
318,patan,27.6667,85.3333,21.21,94,75,2.06,NP,1722543932
319,laghouat,33.8,2.8651,36.45,13,89,5.08,DZ,1722543933
320,kingston,17.997,-76.7936,30.65,76,100,2.08,JM,1722543592
321,shatrovo,56.5167,64.6333,15.96,93,4,2.06,RU,1722543935
322,taoudenni,22.6783,-3.9836,40.81,13,9,6.56,ML,1722543936
323,nabire,-3.3667,135.4833,23.89,95,83,1.48,ID,1722543937
324,newman,37.3138,-121.0208,37.19,13,99,1.36,US,1722543938
325,morehead city,34.7229,-76.726,33.03,79,0,7.72,US,1722543939
326,patterson,37.4716,-121.1297,35.54,15,90,2.55,US,1722543940
327,ebon,4.582,168.6964,28.32,75,42,3.67,MH,1722543941
328,fale old settlement,-9.3852,-171.2468,27.52,69,100,8.2,TK,1722543942
329,yerofey pavlovich,53.9667,121.9667,8.31,65,48,0.98,RU,1722543943
330,gbarnga,6.9956,-9.4722,21.82,99,92,1.59,LR,1722543945
331,mejit,10.2753,170.8646,28.21,76,53,3.12,MH,1722543946
332,buta,2.7858,24.73,22.22,86,70,0.94,CD,1722543947
333,wamba,8.9333,8.6,22.59,93,100,0.18,NG,1722543948
334,arkhangel'sk,64.5401,40.5433,16.06,100,100,2.0,RU,1722543949
335,macon,39.8667,-88.9668,29.93,74,20,5.14,US,1722543840
336,hirara,24.8,125.2833,28.92,94,20,2.57,JP,1722543952
337,mil'kovo,55.6078,37.7956,16.84,68,53,3.66,RU,1722543953
338,salinas,36.6777,-121.6555,28.37,67,0,5.66,US,1722543954
339,zaqatala,41.6336,46.6433,23.26,78,75,4.12,AZ,1722543955
340,itaituba,-4.2761,-55.9836,34.09,46,20,2.06,BR,1722543956
